cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
304,4,9216,3072,ck,8,0,11.528,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,19.6472,2460.1657,0.0
304,8,9216,3072,ck,8,0,11.552,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,39.2127,2459.305,0.0
304,16,9216,3072,ck,8,0,11.6142,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,78.0056,2454.6022,0.0
304,32,9216,3072,ck,8,0,11.5508,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,156.8672,2485.0929,0.0
304,64,9216,3072,ck,13,0,12.8312,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,282.4267,2267.749,0.0
304,128,9216,3072,ck,3,0,17.3183,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,418.5039,1725.6022,0.0
304,256,9216,3072,ck,2,0,25.6394,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,565.3617,1226.9134,0.0
304,512,9216,3072,ck,0,0,43.6568,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,664.0665,792.6141,0.0
304,1024,9216,3072,ck,0,0,79.7119,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,727.3956,513.0285,0.0
304,2048,9216,3072,ck,0,0,144.4892,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,802.5799,370.1133,0.0
304,4096,9216,3072,ck,0,0,278.3539,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,833.2135,282.5295,0.0
304,8192,9216,3072,ck,0,0,559.4185,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,829.1761,230.5516,0.0
304,16384,9216,3072,ck,0,0,1100.1728,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,843.2429,208.7292,0.0
304,20480,9216,3072,ck,0,0,1387.7734,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,835.6128,201.7403,0.0
304,1,3072,9216,ck,6,0,20.2267,a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,2.7994,1400.3207,0.0
304,4,3072,9216,ck,6,0,20.1761,a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,11.2258,1405.6571,0.0
304,8,3072,9216,ck,6,0,22.0571,a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,20.537,1288.0162,0.0
304,16,3072,9216,ck,6,0,26.5095,a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,34.1753,1075.3941,0.0
304,32,3072,9216,ck,6,0,27.034,a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,67.0245,1061.8026,0.0
304,64,3072,9216,ck,8,0,28.5619,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,126.8782,1018.7702,0.0
304,128,3072,9216,ck,13,0,33.7712,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,214.6139,884.9095,0.0
304,256,3072,9216,ck,18,0,39.5841,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,366.1953,794.6948,0.0
304,512,3072,9216,ck,2,0,64.6449,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,448.4655,535.2778,0.0
304,1024,3072,9216,ck,0,0,94.7055,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,612.2357,431.8068,0.0
304,2048,3072,9216,ck,2,0,186.6041,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,621.4445,286.582,0.0
304,4096,3072,9216,ck,0,0,308.4547,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,751.9038,254.9587,0.0
304,8192,3072,9216,ck,0,0,603.6026,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,768.4798,213.6751,0.0
304,16384,3072,9216,ck,0,0,1189.1958,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,780.1179,193.1037,0.0
304,20480,3072,9216,ck,0,0,1500.8157,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,772.674,186.5451,0.0
